Author,Text
Baltasar Gracián,"Attempt easy Tasks as if they were difficult, and difficult as if they were easy. In the one case that confidence may not fall asleep, in the other that it may not be dismayed. For a thing to remain undone nothing more is needed than to think it done. On the other hand, patient industry overcomes impossibilities. Great undertakings are not to be brooded over, lest their difficulty when seen causes despair."
Baltasar Gracián,"Avoid Familiarities in Intercourse. Neither use them nor permit them. He that is familiar, loses any superiority his Influence gives him, and so loses respect. The stars keep their brilliance by not making themselves common. The Divine demands decorum. Every familiarity breeds contempt. In human affairs, the more a man shows, the less he has, for in open communication you communicate the failings that reserve might keep under cover. Familiarity is never desirable; with superiors because it is dangerous, with inferiors because it is unbecoming, least of all with the common herd, who become insolent from sheer folly: they mistake favour shown them for need felt of them. Familiarity trenches on vulgarity."
Baltasar Gracián,"Avoid the Faults of your Nation. Water shares the good or bad qualities of the strata through which it flows, and man those of the climate in which he is born. Some owe more than others to their native land, because there is a more favourable sky in the zenith. There is not a nation even among the most civilized that has not some fault peculiar to itself which other nations blame by way of boast or as a warning. 'Tis a triumph of cleverness to correct in oneself such national failings, or even to hide them: you get great credit for being unique among your fellows, and as it is less expected of you it is esteemed the more."
Baltasar Gracián,"Avoid Victories over Superiors. All victories breed hate, and that over your superior is foolish or fatal. Superiority is always detested, a fortiori superiority over superiority."
Baltasar Gracián,"Common in Nothing. First, not in taste. O great and wise, to be ill at ease when your deeds please the mob! The excesses of popular applause never satisfy the sensible. Some there are such chameleons of popularity that they find enjoyment not in the sweet savours of Apollo but in the breath of the mob. Secondly, not in intelligence. Take no pleasure in the wonder of the mob, for ignorance never gets beyond wonder. While vulgar folly wonders wisdom watches for the trick."
Baltasar Gracián,"Create a Feeling of Dependence. Not he that adorns but he that adores makes a divinity. The wise man would rather see men needing him than thanking him. To keep them on the threshold of hope is diplomatic, to trust to their gratitude boorish; hope has a good memory, gratitude a bad one. More is to be got from dependence than from courtesy. He that has satisfied his thirst turns his back on the well, and the orange once sucked falls from the golden platter into the waste-basket. When dependence disappears, good behaviour goes with it as well as respect. Let it be one of the chief lessons of experience to keep hope alive without entirely satisfying it, by preserving it to make oneself always needed even by a patron on the throne. But let not silence be carried to excess lest you go wrong, nor let another's failing grow incurable for the sake of your own advantage."
Baltasar Gracián,"Cultivate those who can teach you. Let friendly intercourse be a school of knowledge, and culture be taught through conversation: thus you make your friends your teachers and mingle the pleasures of conversation with the advantages of instruction. Sensible persons thus enjoy alternating pleasures: they reap applause for what they say, and gain instruction from what they hear. We are always attracted to others by our own interest, but in this case it is of a higher kind."
Ralph Waldo Emerson,Dare to live the life you have dreamed for yourself. Go forward and make your dreams come true.
Baltasar Gracián,"Do and be seen Doing. Things do not pass for what they are but for what they seem. To be of use and to know how to show yourself of use, is to be twice as useful. What is not seen is as if it was not. Even the Right does not receive proper consideration if it does not seem right. The observant are far fewer in number than those who are deceived by appearances. Deceit rules the roast, and things are judged by their jackets, and many things are other than they seem. A good exterior is the best recommendation of the inner perfection.1"
Baltasar Gracián,"Do not always be Jesting. Wisdom is shown in serious matters, and is more appreciated than mere wit. He that is always ready for jests is never ready for serious things. They resemble liars in that men never believe either, always expecting a lie in one, a joke in the other. One never knows when you speak with judgment, which is the same as if you had none. A continual jest soon loses all zest. Many get the repute of being witty, but thereby lose the credit of being sensible. Jest has its little hour, seriousness should have all the rest."
Baltasar Gracián,"Do not listen to Yourself. It is no use pleasing yourself if you do not please others, and as a rule general contempt is the punishment for self-satisfaction. The attention you pay to yourself you probably owe to others. To speak and at the same time listen to yourself cannot turn out well. If to talk to oneself when alone is folly, it must be doubly unwise to listen to oneself in the presence of others. It is a weakness of the great to talk with a recurrent ""as I was saying"" and ""eh?"" which bewilders their hearers. At every sentence they look for applause or flattery, taxing the patience of the wise. So too the pompous speak with an echo, and as their talk can only totter on with the aid of stilts, at every word they need the support of a stupid ""bravo!"""
James Clear,Each day is a new battle to say yes to what matters and say no to what doesn’t. Focus is a practice.
Ralph Waldo Emerson,"Enthusiasm is the mother of effort, and without it nothing great was ever achieved."
Miguel Ruiz,Every human is an artist. The dream of your life is to make beautiful art.
Baltasar Gracián,"Everything is at its Acme; especially the art of making one's way in the world. There is more required nowadays to make a single wise man than formerly to make Seven Sages, and more is needed nowadays to deal with a single person than was required with a whole people in former times."
Ralph Waldo Emerson,"He is rich who owns the day, and no one owns the day who allows it to be invaded with fret and anxiety."
